Member of Congress,Party,State,Twitter Handle,Instagram,Facebook Address
Rep. Doug LaMalfa,R,CA-1,@RepLaMalfa,@repdouglamalfa,https://www.facebook.com/RepLaMalfa
Rep. Doug Lamborn,R,CO-5,@RepDLamborn,@douglamborn,https://www.facebook.com/CongressmanDougLamborn
Rep. Drew Ferguson,R,GA-3,@RepDrewFerguson,@repdrewferguson,http://www.facebook.com/RepDrewFerguson/
Rep. Dwight Evans,D,PA-3,@RepDwightEvans,@repdwightevans,http://www.facebook.com/CongressmanDwightEvans/
Rep. Earl Blumenauer,D,OR-3,@BlumenauerMedia,@repblumenauer,https://www.facebook.com/blumenauer?fref=ts
Rep. Ed Case,D,HI-1,@repedcase,@repedcase,https://www.facebook.com/RepEdCase
Rep. Elijah Crane,R,AZ-2,@RepEliCrane,@repelicrane,https://www.facebook.com/rep.elicrane/
Rep. Elise Stefanik,R,NY-21,@RepStefanik,@repstefanik,https://www.facebook.com/RepEliseStefanik
Rep. Elissa Slotkin,D,MI-7,@repslotkin,@repslotkin,https://www.facebook.com/RepElissaSlotkin/
Rep. Emanuel Cleaver,D,MO-5,@RepCleaver,@repcleaver,https://www.facebook.com/emanuelcleaverii
Rep. Emilia Sykes,D,OH-13,@EmiliaSykesOH,@emilia_sykes,https://www.facebook.com/EmiliaSykes/
Rep. Eric Burlison,R,MO-7,@RepEricBurlison,@repericburlison,https://www.facebook.com/profile.php?id=100089208900263
Rep. Eric Sorensen,D,IL-17,@RepEricSorensen,@RepEricSorensen,https://www.facebook.com/RepEricSorensen
Rep. Eric Swalwell,D,CA-14,@RepSwalwell,@ericswalwell,https://www.facebook.com/CongressmanEricSwalwell
Rep. Erin Houchin,R,IN-9,@erin_houchin,@rephouchin,https://www.facebook.com/erinhouchinindiana/
Rep. Frank Lucas,R,OK-3,@RepFrankLucas,@repfranklucas,https://www.facebook.com/RepFrankLucas
Rep. Frank Mrvan,D,IN-1,@RepMrvan,@repmrvan,https://www.facebook.com/RepMrvan/
Rep. Frank Pallone,D,NJ-6,@FrankPallone,@repfrankpallone,https://www.facebook.com/RepFrankPallone
Rep. Franklin C. Scott,R,FL-18,@RepFranklin,,https://www.facebook.com/RepFranklin/
Rep. Frederica Wilson,D,FL-24,@RepWilson,@repwilson,https://www.facebook.com/RepWilson
Rep. French Hill,R,AR-2,@RepFrenchHill,@repfrenchhill,https://www.facebook.com/RepFrenchHill
Rep. Gabe Vasquez,D,NM-2,not yet set up,,
Rep. Garret Graves,R,LA-6,@RepGarretGraves,@instagravesla,https://www.facebook.com/CongressmanGarretGraves
Rep. Gary Palmer,R,AL-6,@USRepGaryPalmer,@repgarypalmer,https://www.facebook.com/USRepresentativeGaryPalmer
Rep. George Santos,R,NY-3,not yet set up,,
Rep. Glenn Ivey,D,MD-4,@glenniveymd,@repglennivey,https://www.facebook.com/GlennIveyMD
Rep. Grace Meng,D,NY-6,@RepGraceMeng,,https://www.facebook.com/repgracemeng
Rep. Grace Napolitano,D,CA-31,@GraceNapolitano,@repgracenapolitano,https://www.facebook.com/RepGraceNapolitano
Rep. Greg Landsman,R,OH-1,@GregLandsman,@repgreglandsman,https://www.facebook.com/RepGregLandsman
Rep. Greg Murphy,R,NC-3,@RepGregMurphy,@repgregmurphy,https://www.facebook.com/RepGregMurphy/
Rep. Greg Pence,R,IN-6,@RepGregPence,@repgregpence,https://www.facebook.com/RepGregPence/
Rep. Greg Stanton,D,AZ-4,@gregstantonaz,@repgregstanton,https://www.facebook.com/repgregstanton/
Rep. Gregory Meeks,D,NY-5,@GregoryMeeks,@repgregorymeeks,https://www.facebook.com/gregorymeeksny05
Rep. Gregory W. Steube,R,FL-17,@RepGregSteube,@repgregsteube,https://www.facebook.com/RepGregSteube/
Rep. Gus Bilirakis,R,FL-12,@RepGusBilirakis,@gusbilirakis,https://www.facebook.com/GusBilirakis
Rep. Hakeem Jeffries,D,NY-8,@RepJeffries,@repjeffries,https://www.facebook.com/RepHakeemJeffries
Rep. Haley Stevens,D,MI-11,@RepHaleyStevens,@RepHaleyStevens,https://www.facebook.com/RepHaleyStevens
Rep. Harold Rogers,R,KY-5,@RepHalRogers,@rephalrogers,https://www.facebook.com/CongressmanHalRogers
Rep. Henry Johnson,D,GA-4,@RepHankJohnson,@rephankjohnson,https://www.facebook.com/RepHankJohnson/
Rep. Hilary Scholten,D,MI-3,@RepScholten,@repscholten,https://www.facebook.com/RepScholten
Rep. Ilhan Omar,D,MN-5,@Ilhan,@repilhan,https://www.facebook.com/RepIlhan/
Rep. Jack Bergman,R,MI-1,@RepJackBergman,@RepJackBergman,https://www.facebook.com/RepJackBergman/
Rep. Jahana Hayes,D,CT-5,@RepJahanaHayes,@repjahanahayes,https://www.facebook.com/RepJahanaHayes
Rep. Jake Auchincloss,D,MA-4,@RepAuchincloss,@repauchincloss,https://www.facebook.com/RepAuchincloss
Rep. Jake LaTurner,R,KS-2,@RepLaTurner,,https://www.facebook.com/CongressmanJakeLaTurner/
Rep. Jamaal Bowman,D,NY-16,@RepBowman,@jamaalbowmanny,https://www.facebook.com/RepBowman/
Rep. James Baird,R,IN-4,@RepJimBaird,@RepJimBaird,https://www.facebook.com/RepJimBaird
Rep. James Comer,R,KY-1,@RepJamesComer,@congressmancomer,http://www.facebook.com/congressmancomer
Rep. James Himes,D,CT-4,@JAHimes,@repjimhimes,https://www.facebook.com/CongressmanJimHimes
Rep. James McGovern,D,MA-2,@RepMcGovern,@repmcgovern,https://www.facebook.com/RepJimMcGovern
Rep. Jamie Raskin,D,MD-8,@repraskin,@repraskin,http://www.facebook.com/repraskin
Rep. Janice Schakowsky,D,IL-9,@JanSchakowsky,@janschakowsky,https://www.facebook.com/janschakowsky
Rep. Jared Golden,D,ME-2,@RepGolden,,https://www.facebook.com/RepGolden
Rep. Jared Huffman,D,CA-2,@RepHuffman,@rephuffman,https://www.facebook.com/RepHuffman
Rep. Jared Moskowitz,D,FL-23,@JaredEMoskowitz,@repmoskowitz,https://www.facebook.com/jaredforcongress/
Rep. Jason Crow,D,CO-6,@RepJasonCrow,@repjasoncrow,https://www.facebook.com/RepJasonCrow
Rep. Jason Smith,R,MO-8,@RepJasonSmith,@repjasonsmith,https://www.facebook.com/repjasonsmith
Rep. Jay Obernolte,R,CA-23,@JayObernolte,@jayobernolte,https://www.facebook.com/RepObernolte
Rep. Jeff Jackson,D,NC-14,@JeffJacksonNC,@jeffjacksonnc,https://www.facebook.com/JeffJacksonNC/
Rep. Jefferson Van Drew,R,NJ-2,@Congressmanjvd,@jeffvandrew,https://www.facebook.com/CongressmanJVD/
Rep. Jerrold Nadler,D,NY-12,@RepJerryNadler,@repjerrynadler,https://www.facebook.com/CongressmanNadler
Rep. Jerry L. Carl,R,AL-1,@RepJerryCarl,@repjerrycarl,https://www.facebook.com/RepJerryCarl
Rep. Jesus Garcia,D,IL-4,@RepChuyGarcia,,https://www.facebook.com/RepChuyGarcia/
Rep. Jill Tokuda,D,HI-2,@RepJillTokuda,@repjilltokuda,https://www.facebook.com/RepJillTokuda
Rep. Jim Banks,R,IN-3,@RepJimBanks,,http://www.facebook.com/RepJimBanks/
Rep. Jim Costa,D,CA-21,@RepJimCosta,@repjimcosta,https://www.facebook.com/RepJimCosta/
Rep. Jim Jordan,R,OH-4,@Jim_Jordan,@jim.jordan.official,https://www.facebook.com/repjimjordan
Rep. Jimmy Gomez,D,CA-34,@RepJimmyGomez,@jimmygomezca,https://www.facebook.com/RepJimmyGomez
Rep. Jimmy Panetta,D,CA-19,@RepJimmyPanetta,@repjimmypanetta,http://www.facebook.com/RepJimmyPanetta/
Rep. Joe Courtney,D,CT-2,@RepJoeCourtney,@repjoecourtney,https://www.facebook.com/joecourtney
Rep. John Duarte,R,CA-13,not yet set up,,
Rep. John Garamendi,R,CA-8,@RepGaramendi,@repgaramendi,https://www.facebook.com/repgaramendi
Rep. John James,R,MI-10,@JohnJamesMI,@johnjamesmi,https://www.facebook.com/JohnJamesMI/
Rep. John Larson,D,CT-1,@RepJohnLarson,@RepJohnBLarson,https://www.facebook.com/RepJohnLarson
Rep. John Moolenaar,R,MI-2,@RepMoolenaar,@RepMoolenaar,https://www.facebook.com/RepMoolenaar
Rep. John Rutherford,R,FL-5,@RepRutherfordFL,@reprutherfordfl,https://www.facebook.com/RepRutherfordFL/
Rep. John Sarbanes,D,MD-3,@RepSarbanes,,https://www.facebook.com/RepSarbanes
Rep. Jonathan Jackson,D,IL-1,not yet set up,,
Rep. Joseph Morelle,D,NY-25,@RepJoeMorelle,@repjoemorelle,https://www.facebook.com/RepJoeMorelle/
Rep. Joseph Neguse,D,CO-2,@RepJoeNeguse,@repjoeneguse,https://www.facebook.com/RepJoeNeguse/
Rep. Josh Brecheen,R,OK-2,@RepBrecheen,@repbrecheen,https://www.facebook.com/people/Congressman-Josh-Brech
Rep. Josh Gottheimer,D,NJ-5,@RepJoshG,@RepJoshG,https://www.facebook.com/RepJoshG
Rep. Josh Harder,D,CA-9,@joshua_harder,@repjoshharder,https://www.facebook.com/harderforcongress/
Rep. Joyce Beatty,D,OH-3,@RepBeatty,@repbeatty,https://www.facebook.com/RepJoyceBeatty
Rep. Juan Ciscomani,R,AZ-6,@JuanCiscomani,@juanciscomani,https://www.facebook.com/juanciscomani/
Rep. Juan Vargas,D,CA-52,@RepJuanVargas,@repjuanvargas,https://www.facebook.com/RepJuanVargas
Rep. Judy Chu,D,CA-28,@RepJudyChu,@repjudychu,https://www.facebook.com/RepJudyChu
Rep. Julia Brownley,D,CA-26,@JuliaBrownley26,@repbrownley,https://www.facebook.com/RepJuliaBrownley
Rep. Julia Letlow,R,LA-5,@repjulialetlow,@repjulialetlow,https://www.facebook.com/repjulialetlow
Rep. Kat Cammack,R,FL-3,@RepKatCammack,@repkatcammack,https://www.facebook.com/RepKatCammack
Rep. Katherine Clark,D,MA-5,@RepKClark,@repkclark,https://www.facebook.com/CongresswomanClark
Rep. Kathy Castor,D,FL-14,@USRepKCastor,@usrepkathycastor,https://www.facebook.com/USRepKathyCastor
Rep. Kathy Manning,D,NC-6,@RepKManning,@repkathymanning,https://facebook.com/RepKathyManning
Rep. Katie Porter,D,CA-47,@RepKatiePorter,@repkatieporter,https://www.facebook.com/repkatieporter/
Rep. Kelly Armstrong,R,ND-0,@RepArmstrongND,@reparmstrongnd,https://www.facebook.com/RepArmstrongND
Rep. Ken Buck,R,CO-4,@RepKenBuck,@repkenbuck,https://www.facebook.com/repkenbuck
Rep. Ken Calvert,R,CA-41,@KenCalvert,@repkencalvert,https://www.facebook.com/RepKenCalvert
Rep. Kevin Hern,R,OK-1,@repkevinhern,@repkevinhern,https://www.facebook.com/repkevinhern/
Rep. Kevin Kiley,R,CA-3,@KevinKileyCA,@kevinpkiley,https://www.facebook.com/KevinKileyCA/
Rep. Kevin McCarthy,R,CA-20,@SpeakerMcCarthy,@speakermccarthy,https://www.facebook.com/kevinomccarthy/
Rep. Kweisi Mfume,D,MD-7,@repkweisimfume,@repkweisimfume,http://www.facebook.com/RepKweisiMfume
Rep. Larry Bucshon,R,IN-8,@RepLarryBucshon,@replarrybucshon,https://www.facebook.com/RepLarryBucshon
Rep. Laurel Lee,R,FL-15,@RepLaurelLee,@replaurellee,https://www.facebook.com/VoteLaurel/
Rep. Lauren Boebert,R,CO-3,@RepBoebert,@repboebert,https://www.facebook.com/RepBoebert/
Rep. Lauren Underwood,D,IL-14,@RepUnderwood,@repunderwood,https://www.facebook.com/repunderwood/
Rep. Linda Sanchez,D,CA-38,@RepLindaSanchez,@replindasanchez,https://www.facebook.com/CongresswomanLindaSanchez
Rep. Lisa Blunt Rochester,D,DE-0,@RepBRochester,@rep.lisabluntrochester,https://www.facebook.com/Rep.BluntRochester/
Rep. Lisa McClain,R,MI-9,@RepLisaMcClain,@RepLisaMcClain,https://www.facebook.com/RepLisaMcClain
Rep. Lois Frankel,D,FL-22,@RepLoisFrankel,@reploisfrankel,https://www.facebook.com/RepLoisFrankel
Rep. Lori Chavez-DeRemer,R,OR-5,@RepLCD,@replcd,https://www.facebook.com/RepLCD
Rep. Lori Trahan,D,MA-3,@RepLoriTrahan,@reploritrahan,https://www.facebook.com/RepLoriTrahan/
Rep. Lucy McBath,D,GA-7,@RepLucyMcBath,@replucymcbath,https://www.facebook.com/replucymcbath
Rep. Luis Correa,D,CA-46,@RepLouCorrea,@reploucorrea,https://www.facebook.com/RepLouCorrea/
Rep. Madeleine Dean,D,PA-4,@RepDean,@repmadeleinedean,https://www.facebook.com/RepMadeleineDean/
Rep. Marcus Molinaro,R,NY-19,@marcmolinaro,@marcmolinarony,https://www.facebook.com/MarcMolinaroNY/
Rep. Marcy Kaptur,D,OH-9,@RepMarcyKaptur,@repmarcykaptur,https://www.facebook.com/RepresentativeMarcyKaptur
Rep. Maria Elvira Salazar,R,FL-27,@RepMariaSalazar,@repmariasalazar,https://www.facebook.com/CongresswomanMariaElviraSalazar
Rep. Mariannette Miller-Meeks,R,IA-1,@RepMMM,@millermeeks,https://www.facebook.com/RepMMM
Rep. Mario Diaz-Balart,R,FL-26,@MarioDB,@repmariodb,https://www.facebook.com/mdiazbalart
Rep. Marjorie Taylor Greene,R,GA-14,@RepMTG,@realmarjoriegreene,https://www.facebook.com/RepMTGreene
Rep. Mark Alford,R,MO-4,@RepMarkAlford,@repmarkalford,https://www.facebook.com/profile.php?id=100089595940547
Rep. Mark Amodei,R,NV-2,@MarkAmodeiNV2,@MarkAmodeiNV2,https://www.facebook.com/MarkAmodeiNV2
Rep. Mark DeSaulnier,D,CA-10,@RepDeSaulnier,@repdesaulnier,https://www.facebook.com/RepMarkDeSaulnier
Rep. Mark Takano,D,CA-39,@RepMarkTakano,@repmarktakano,https://www.facebook.com/RepMarkTakano
Rep. Mary Miller,R,IL-15,@RepMaryMiller,@repmarymiller,https://www.facebook.com/RepMaryMiller/
Rep. Mary Peltola,D,AK-0,@Rep_Peltola,@marypeltola,https://www.facebook.com/reppeltola
Rep. Matt Gaetz,R,FL-1,@Rep_Matt_Gaetz,@Congressman_Matt_Gae,http://www.facebook.com/CongressmanMattGaetz/
Rep. Matthew Rosendale,R,MT-2,@RepRosendale,@RepRosendale,https://www.facebook.com/RepRosendale
Rep. Max Miller,R,OH-7,not yet set up,,
Rep. Maxine Waters,D,CA-43,@MaxineWaters,@repmaxinewaters,https://www.facebook.com/MaxineWaters
Rep. Maxwell Frost,D,FL-10,@MaxwellFrostFL,@maxwellfrostfl,https://www.facebook.com/MaxwellFrostFL/
Rep. Melanie Stansbury,D,NM,@Rep_Stansbury,@repstansbury,https://www.facebook.com/RepStansbury/
Rep. Michael Guest,R,MS-3,@RepMichaelGuest,@repmichaelguest,http://www.facebook.com/RepMichaelGuest
Rep. Michael Lawler,R,NY-17,@RepMikeLawler,@repmikelawler,https://www.facebook.com/RepMikeLawler
Rep. Michael Simpson,R,ID-2,@CongMikeSimpson,,https://www.facebook.com/pages/Mike-Simpson
Rep. Michael Turner,R,OH-10,@RepMikeTurner,@repmiketurner,https://www.facebook.com/RepMikeTurner
Rep. Michael Waltz,R,FL-6,@RepMichaelWaltz,@RepMichaelWaltz,https://www.facebook.com/repmichaelwaltz/
Rep. Michelle Fischbach,R,MN-7,@RepFischbach,@repfischbach,https://www.facebook.com/RepFischbach/
Rep. Michelle Steel,R,CA-45,@RepSteel,@michellesteelca,https://www.facebook.com/RepSteel/
Rep. Mike Bost,R,IL-12,@RepBost,,https://www.facebook.com/RepBost
Rep. Mike Carey,R,OH-15,@RepMikeCarey,,https://www.facebook.com/RepMikeCarey
Rep. Mike Collins,R,GA-10,@MikeCollinsGA,@mikecollinsga,https://www.facebook.com/MikeCollinsGA10/
Rep. Mike Ezell,R,MS-4,@repezell,@repmikeezell,https://www.facebook.com/RepEzell/
Rep. Mike Flood,R,NE-1,@USRepMikeFlood,@usrepmikeflood,https://www.facebook.com/RepMikeFlood
Rep. Mike Garcia,R,CA-27,@RepMikeGarcia,@repmikegarcia,https://www.facebook.com/electmikegarcia/
Rep. Mike Johnson,R,LA-4,@RepMikeJohnson,@RepMikeJohnson,http://www.facebook.com/RepMikeJohnson/
Rep. Mike Levin,D,CA-49,@RepMikeLevin,@RepMikeLevin,https://www.facebook.com/RepMikeLevin
Rep. Mike Quigley,D,IL-5,@RepMikeQuigley,@repmikequigley,https://www.facebook.com/repmikequigley
Rep. Mike Rogers,R,AL-3,@RepMikeRogersAL,@repmikerogersal,https://www.facebook.com/CongressmanMikeDRogers
Rep. Mike Thompson,D,CA-4,@RepThompson,@repmikethompson,https://www.facebook.com/RepMikeThompson
Rep. Mikie Sherrill,D,NJ-11,@RepSherrill,@repsherrill,https://www.facebook.com/RepMikieSherrill/
Rep. Morgan McGarvey,D,KY-3,@RepMcGarvey,@repmcgarvey,https://www.facebook.com/RepMcGarvey
Rep. Nancy Pelosi,D,CA-11,@NancyPelosi,@speakerpelosi,https://www.facebook.com/NancyPelosi
Rep. Nanette Barragan,D,CA-44,@RepBarragan,@repbarragan,http://www.facebook.com/CongresswomanBarragan/
Rep. Neal Dunn,R,FL-2,@DrNealDunnFL2,@drnealdunnfl2,https://www.facebook.com/DrNealDunnFL2/
Rep. Nicholas Langworthy,R,NY-23,@NickLangworthy,@nicklangworthy,https://www.facebook.com/ChairmanNickLangworthy/
Rep. Nick LaLota,R,NY-1,@RepLaLota,@replalota,https://www.facebook.com/replalota
Rep. Nicole Malliotakis,R,NY-11,@RepMalliotakis,@nmalliotakis,https://www.facebook.com/RepMalliotakis/
Rep. Nikema Williams,D,GA-5,@RepNikema,@repnikema,https://www.facebook.com/RepNikemaWilliams/
Rep. Nikki Budzinski,D,IL-13,@RepNikkiB,@repnikki,https://www.facebook.com/NikkiforCongress/
Rep. Norma Torres,D,CA-35,@NormaJTorres,@repnormatorres,https://www.facebook.com/RepNormaTorres
Rep. Nydia Velazquez,D,NY-7,@NydiaVelazquez,@rep_velazquez,https://www.facebook.com/RepNydiaVelazquez/
Rep. Patrick McHenry,R,NC-10,@PatrickMcHenry,@reppatrickmchenry,https://www.facebook.com/CongressmanMcHenry
Rep. Patrick Ryan,D,NY-18,@RepPatRyanNY,,https://www.facebook.com/RepPatRyan/
Rep. Paul Gosar,D,AZ-9,@RepGosar,@Repgosar,https://www.facebook.com/repgosar
Rep. Paul Tonko,D,NY-20,@RepPaulTonko,@reppaultonko,https://www.facebook.com/reppaultonko
Rep. Pete Aguilar,D,CA-33,@RepPeteAguilar,@rep.peteaguilar,https://www.facebook.com/reppeteaguilar
Rep. Peter Stauber,R,MN-8,@RepPeteStauber,@reppetestauber,http://www.facebook.com/reppetestauber/
Rep. Raja  Krishnamoorthi,D,IL-8,@congressmanraja,@congressmanraja,http://www.facebook.com/congressmanraja
Rep. Randy Feenstra,R,IA-4,@RepFeenstra,@repfeenstra,https://www.facebook.com/RepFeenstra/
Rep. Rashida Tlaib,D,MI-12,@RepRashida,@rashidatilab,http://www.facebook.com/reprashida
Rep. Raúl Grijalva,D,AZ-7,@RepRaulGrijalva,@repraulgrijalva,"https://www.facebook.com/Rep.Grijalva,"
Rep. Raul Ruiz,D,CA-25,@CongressmanRuiz,@repraulruizmd,https://www.facebook.com/CongressmanRaulRuizMD
Rep. Richard Hudson,R,NC-9,@RepRichHudson,@reprichhudson,https://www.facebook.com/RepRichHudson
Rep. Richard McCormick,D,GA-6,@RepMcCormick,@reprichmccormick,https://www.facebook.com/RichforGA/
Rep. Richard Neal,D,MA-1,@RepRichardNeal,,https://www.facebook.com/pages/Congressman-Richard-Neal
Rep. Rick Allen,R,GA-12,@reprickallen,@rep_rickallen,https://www.facebook.com/CongressmanRickAllen
Rep. Rick Crawford,R,AR-1,@RepRickCrawford,@reprickcrawford,https://www.facebook.com/RepRickCrawford
Rep. Ritchie Torres,D,NY-15,@RepRitchie,@repritchie,https://www.facebook.com/RepRitchie/
Rep. Ro Khanna,D,CA-17,@RepRoKhanna,@reprokhanna,http://www.facebook.com/RepRoKhanna/
